,Optimal len,robot_0 path len,robot_1 path len,robot_2 path len,robot_3 path len,robot_4 path len,Total Time,Goal First found
Short goal,8,,,,,,,
3 robots,,,,,,,,
Patrick,,8,20,30,,,3:12,0:53
Zach ,,38,44,34,,,4:25,3:12
5 robots,,,,,,,,
Patrick ,,8,8,20,20,34,2:52,0:53
Zach,,8,20,8,20,34,2:52,0:53
,,,,,,,,
Medium goal,29,,,,,,,
3 robots,,,,,,,,
Patrick,,55,99,115,,,14:48,10:20
Zach ,,99,59,67,,,9:39,5:54
5 robots,,,,,,,,
Patrick ,,67,45,143,105,97,"Donâ€™t know, someone crashed",13:05
Zach,,33,83,53,35,73,8:16,3:30
,,,,,,,,
Long goal,,,,,,,,
3 robots,,,,,,,,
Patrick,,,,,,,,
Zach ,,,,,,,,
5 robots,,,,,,,,
Patrick ,,,,,,,,
Zach,,,,,,,,